,API Name,API URL,API Category,API Date,API Description
10,del.icio.us,/api/delicious-0,Bookmarks,10.30.2005,"From their site: del.icio.us is a social bookmarking website -- the primary use of del.icio.us is to store your bookmarks online, which allows you to access the same bookmarks from any computer and add bookmarks from anywhere, too. On del.icio.us, you can use tags to organize and remember your bookmarks, which is a much more flexible system than folders. 

The API provides read/write access to Delicious bookmarks and tags via an HTTP-based interface. The RESTful API returns responses in XML."
11,Google App Engine,/api/google-app-engine,Tools,12.05.2008,"[This API is no longer available. Its functions have been split among the following APIs: Google App Engine Admin, Google App Engine Task Queue, Google Cloud App Engine Tasks, Google App Engine Admin RPC. This profile is being maintained purely for historical and research purposes.] 
Use the Google App Engine platform to run web apps on Google's infrastructure, the same scalable systems that run Google applications. Use the platform to run your apps reliably, even if you have heavy load and data needs. The environment has dynamic web serving, persistent storage with queries, sorting and transactions, automatic scaling and load balancing, APIs for authenticating users and sending email using Google Accounts, and a local testing environment."
12,Foursquare,/api/foursquare,Social,09.10.2009,"The Foursquare API provides location based experiences with diverse information about venues, users, photos, and check-ins. The API supports real time access to places, Snap-to-Place that assigns users to specific locations, and Geo-tag. Additionally, Foursquare allows developers to build audience segments for analysis and measurement. JSON is the preferred response format."
13,Google Homepage,/api/google-homepage,Widgets,12.14.2005,"From their site: The Google Gadgets API provides a way to put third-party content onto the Google homepage. The main use of the Google Gadgets API is to create gadgets (mini-applications) that users can add to their Google personalized homepages and other Google properties. For example, you could create a photo album gadget, or a gadget that displays an interactive game. The API is designed to be simple enough so that anyone can turn his or her web page or application into a gadget."
14,DocuSign Enterprise,/api/docusign-enterprise,Electronic Signature,03.29.2008,"DocuSign is a Cloud based legally compliant eSignature service.  DocuSign service provides an intuitive web, mobile and an API interfaces.  DocuSign API allows an application to connect DocuSign service or embed parts of DocuSign user experience.  

By connecting to DocuSign web services applications can create electronic signature transactions, retrieve electronically signed documents, get up to date status on outstanding envelopes and do other Create/Read/Update/Delete operations.

By embedding DocuSign interface applications can provide single-sign-on capability and insert signing or sending user experience into their applications."
15,Amazon S3,/api/amazon-s3,Storage,03.14.2006,"Since 2006 Amazon Web Services has been offering web services commonly known as cloud computing. AWS Provides a reliable, low cost infrastructure platform that powers hundreds of thousands of businesses.

Amazon S3 API, the Simple Storage Service provides a simple web services interface used to store objects using the Amazon online storage infrastructure. Users can then download the data or use the data with other AWS services, such as Amazon Elastic Cloud Computer (EC2). Using this web service, developers can build applications that make use of Internet storage. 

The API uses Buckets, Objects, Keys and Operations. An object has four parts: value, key, metadata, and an access control policy. Objects are stored in buckets. The API is REST based. Responses are formatted in JSON."
16,Google AdSense,/api/google-adsense,Advertising,06.01.2006,"The Google AdSense API is ideal for developers whose users create their own content through blogging, web publishing, forum/wiki/community creation, or any other application where substantial web content is generated.

Using the AdSense API, developers can let users sign up for AdSense through their site or program, generate detailed performance reports for users, and choose how the AdSense revenue is shared with our revenue sharing program. Additionally users can create accounts to store publisher website information, then generate ad code snippets and filter out unwanted ads.

A previous SOAP version has been deprecated in favor of REST with responses formatted as JSON."
17,GeoNames,/api/geonames,Reference,01.12.2006,"Geonames is a geographical database with web services that let users extract useful information about different places, such as weather, timezone and post codes. The GeoNames geographical database covers all countries and contains over eight million placenames that are available for download free of charge. Users can edit, correct and add new names using a wiki interface.

Geonames provides a suite of Webservices including the following categories:

Fulltext search
Place Hierarchy
Wikipedia
Postal Codes
Reverse Geocoding


The APIs use RESTful protocol and responses vary in format between XML, JSON, CSV, and TXT

While the GeoNames data is free, the data is available without costs, there is a Service Level Agreement available for premium web services."
18,Wikipedia,/api/wikipedia,Reference,09.05.2008,"The unofficial Wikipedia API. Because Wikipedia is built using MediaWiki, which in turn supports an API, Wikipedia does as well. This provides developers code-level access to the entire Wikipedia reference. The goal of this API is to provide direct, high-level access to the data contained in the MediaWiki databases. Client programs can use the API to login, get data, and post changes. The API supports thin web-based JavaScript clients, such as Navigation popups or LiveRC, end-user applications (such as vandal fighter), and can be accessed by another web site (tool server's utilities).

The API uses RESTful calls and supports a wide variety of formats including XML, JSON, PHP, YAML and others."
19,Box,/api/box,Content,03.07.2006,"Box is a modern content management platform that transforms how organizations work and collaborate to achieve results faster.

Box Platform provides content APIs to build secure content experiences in custom apps. With Box Platform, organizations can bring content management and collaboration services to their own custom apps or build custom integrations with Box."
20,Amazon EC2,/api/amazon-ec2,Cloud,08.25.2006,"The Amazon Elastic Compute Cloud (Amazon EC2) API is a web service that enables you to launch and manage Linux/UNIX and Windows server instances in Amazon's data centers. Giving users the ability to ""compute"" in the cloud, it provides users with complete control of their computing resources and lets them run on Amazon's computing environment. Amazon EC2 changes the economics of computing by allowing users to pay only for capacity that is actually used.

This is a REST-based API. The SOAP interface was deprecated on 1 December 2015.
The WSDL for each supported API version is available from the following URI: 
http://ec2.amazonaws.com/doc//AmazonEC2.wsdl"
21,Bing,/api/bing,Search,06.04.2009,"[The Bing API is now the Bing Web Search API. This profile is being maintained purely for historical and research purposes.]

The Bing API provides an experience similar to Bing.com/search by returning search results that Bing determines are relevant to a user's query. The results include Web pages and may also include images, videos, and more. Free trial keys are available here: https://azure.microsoft.com/en-us/try/cognitive-services/?api=bing-web-search-api."
22,LinkedIn,/api/linkedin,Social,12.10.2007,"LinkedIn is the world's largest business social networking hub. Launched in 2003, LinkedIn has millions of users and is implemented in over 200 countries. One purpose of the site is to allow registered users to maintain a list of contact details of people with whom they have some level of relationship, called Connections. Users can invite anyone (whether a site user or not) to become a connection.

The LinkedIn API is a RESTful platform that provides a simple, consistent representation of people, companies, jobs, and the interactions and relationships between them. Our query language lets you read data in XML and JSON at the granularity and aggregation that you choose. Use OAuth 1.0a to authorize users and begin making REST API calls using any programming language.The API’s access is restricted to authorized developers."
23,Instagram Graph,/api/instagram-graph,Photos,12.15.2010,"Instagram is a photo sharing iPhone app and service. Users take photos and can share them with Instagram contacts, as well as friends on other social networks like Twitter and Facebook. The Instagram API provides access to user authentication, friend connections, photos and all the other elements of the iPhone app--including uploading new media."
24,Yahoo BOSS,/api/yahoo-boss,Search,07.10.2008,"Per provider, this API will be shutting down on March 31, 2016

BOSS (Build your Own Search Service) is Yahoo!'s open search web services platform. The goal of BOSS is simple: open up Yahoo!'s search infrastructure and enable third parties to build revolutionary search products leveraging their own data, content, technology, social graph, or other assets. Developers, start-ups, and large Internet companies can use BOSS to build and launch web-scale search products that utilize the entire Yahoo! Search index. BOSS gives you access to Yahoo!'s investments in crawling and indexing, ranking and relevancy algorithms, and powerful infrastructure. By combining your assets and ideas with our search technology assets, BOSS is a platform for the next generation of search innovation. The API uses a RESTful interface and responses are formatted in XML and JSON."
25,Yelp Fusion,/api/yelp-fusion,Recommendations,08.03.2007,"The Yelp Fusion APIs are RESTful APIs and users can retrieve business review and rating, information for a particular geographic region or location.display review information for a particular business, determine accurate neighborhood name information for a particular location, track recent reviews for a particular business, display pictures of highly rated local businesses and of the top reviewers for that business, determine a particular business' review and rating information based on the phone number for that business. The default output is JSON. This output format was chosen due to the availability of JSON parsers in many languages. The following Yelp Fusion APIs are available: Search, Phone Number Search, Business Search, Transaction, Reviews, and Autcomplete - each API has a separate ProgrammableWeb entry."
26,Shopping.com,/api/shoppingcom,eCommerce,01.30.2006,"[This API has been acquired by eBay and now exists as eBay Commerce Network. This profile is being maintained purely for historical and research purposes.]

With the Shopping.com API you can integrate relevant product content with the deepest product catalog available online. Add millions of unique products and merchant offers to your site. Shopping.com, an eBay company, is the world's online comparison shopping service leader. Its global websites (Shopping.com, DealTime, and DoorOne) carry one of the world's largest product catalogs and offers from more than 6000 merchants.

The Shopping.com XML API uses a RESTful interface and can be used to feature dynamic Shopping.com content on your web pages. It offers capabilities such as keyword search, refining and sorting search results, finding product reviews, reading product specs, comparing products and prices from different merchants and controlling the number of results and navigating between pages."
27,A State of Trance,/api/state-trance,Music,11.11.2013,"A State of Trance is a radio show, hosted by Armin van Buuren, which plays trance and progressive rock music. The A State of Trance API allows developers to access information from the radio show and the Unofficial A State of Trance Android app. This includes episodes, tracks, artists, DJs, sets, labels, events, and Top 10s. This API is provided for free, though donations are appreciated."
28,Google Analytics Managment,/api/google-analytics-managment,Analytics,04.21.2009,"Use the Google Analytics Management API to leverage Google's extensive website analytics tools. The API uses GET requests over HTTPS and JSON for requests/returns. Some of the functions available with the API are: List Account, Property and View (Profile) information for a user; manage properties and goals; manage user permissions; and upload cost data to Google Analytics for non-Google paid campaigns. See the extensive documentation for code samples, detailed method descriptions, and more."
29,Yahoo Local Search,/api/yahoo-local-search,Search,11.12.2005,"The Yahoo! Local Search APIs give users access to a comprehensive database of information and content in Yahoo! Local ranging from business information to user comments to ratings. Data includes business address and phone, category, rating, distance, URL and traffic alerts. Yahoo! Local makes a great addition to any mashup, bringing in location-based relevancy and the additional context of what real people have experienced in these places.

Version 3 of Yahoo! Local Search adds even more features! Users can now request individual business records by using the Yahoo! Local listing id. Yahoo! supports search categories to help users narrow their queries. Finally, results now return the first few lines of the last user review for each listing. The API uses a RESTful protocol and responses are formatted in either XML, JSON and PHP."
30,Panoramio,/api/panoramio,Photos,06.12.2007,"(Deprecated in November, 2016) Using Panoramio API users can display the photos from Panoramio on their own web site. Geolocated photos from Panoramio can enrich maps or illustrate information where location is a important factor (real estate sites, hotels and vacation sites, routes & trails).

Panoramio is a website that enables digital photographers to geolocate, store and organize their photographsï¿½and to view those photographs in Google Earth and Google Maps. Panoramio is a community-powered site for exploring places through photography: cities, natural wonders, or anywhere you might go. Panoramio is different from other photo sharing sites because the photos illustrate places. As you browse Panoramio, notice that there aren't many photos of friends and family posing in front of places, or photos of interesting surfaces--Panoramio's all about seeing the world.

The Panoramio API uses a RESTful interface and responses are formatted in JSON."
31,Facebook Graph,/api/facebook-graph,Social,12.17.2010,"From documentation: At Facebook's core is the social graph; people and the connections they have to everything they care about. The Graph API presents a simple, consistent view of the Facebook social graph, uniformly representing objects in the graph (e.g., people, photos, events, and pages) and the connections between them (e.g., friend relationships, shared content, and photo tags).  Public information can be accessed without a developer key/application key, but is required for private data access.

The Facebook Graph API has undergone numerous versioning updates. Launched in November 2017 and scheduled to last until at least November 2019, the newly integrated features of version 2.11 include: updates to the pages API allowing users to know what is happening to private replies, posts an commenting. Updates to group/videos permissions requiring a user access token to read videos from a group, sunsetting of app links host. All these changes are accessible in the documentation of the API."
32,Salesforce,/api/salesforce,Enterprise,11.09.2005,"Unfortunately, ProgrammableWeb no longer maintains a record of this API. Usually this happens when the API provider notifies us that the API has been discontinued. The good news is we remember what categories it belonged to! Browse one of the related category or try searching for a new API."
33,Google Earth,/api/google-earth,Mapping,06.01.2008,The Google Earth Engine API allows developers to run algorithms on georeferenced imagery and vectors stored on Google's infrastructure. The Google Earth Engine API provides a library of functions which may be applied to imagery for display and analysis. Earth Engine's public data catalog contains a large amount of publicly available imagery.
34,indeed,/api/indeed,Jobs,09.04.2005,"Indeed is a search engine for jobs - with a radically different approach to job search. In one simple search, Indeed gives job seekers free access to millions of employment opportunities from thousands of websites. Indeed.com includes all the job listings from major job boards, newspapers, associations and company career pages - and we continue to add new sites every day.The Indeed API allows developers to integrate Indeed’s employer interface or job seeker interface in apps. The API returns responses in JSON or XML format."
35,Eventful,/api/eventful,Events,10.31.2005,"Eventful is the world's largest collection of events, taking place in local markets throughout the world, from concerts and sports to singles events and political rallies. Eventful.com is built upon a unique, open platform that enables partners and web applications to leverage Eventful's data, features and functionality via the Eventful API. The Eventful API provides access to the entire site database enabling developers to integrate it and the functionality of the Eventful platform into web applications. Common API tasks include event and venue search. The API uses RESTful calls and responses are formatted in either XML, JSON or YAML."
36,Google Translate,/api/google-translate,Translation,08.20.2007,"The Google Translate API is now in its second version. As part of Google's larger Cloud Machine Learning API family, the Translate API can translate text between thousands of language pairs. The Cloud Translation API lets developers programmatically integrate the service with third party sites and applications."
37,Google Calendar,/api/google-calendar,Calendars,04.20.2006,"The Calendar Data API lets users perform most of the operations a normal Google Calendar user can on the Google Calendar website. Google Calendar allows client applications to view and update calendar events in the form of Google data API, GData, feeds. The Calendar Data API lets users incorporate Calendar functionality into their own application or website. Users can edit calendars, create and delete events, query for events that match particular criteria, send invitations, and more.

There are many possible uses for the Calendar data API. For example, users can create a web front end for a group calendar that uses Google Calendar as a back end. Or a public calendar can be generated for Google Calendar to display, based on a company event database. Or users can search relevant calendars to display a list of upcoming events on those calendars."
38,Google AdWords,/api/google-adwords,Advertising,01.22.2006,"The Google AdWords API allows apps to interact directly with the Google Ads platform, vastly increasing the efficiency of managing large or complex Google Ads accounts and campaigns. Some typical use cases include:

Automated account management
Custom reporting
Ad management based on inventory
Bid management based on business data

With the AdWords API you can build software that manages accounts from the customer level down to the keyword level. The API can do almost everything the Google Ads UI does, but programmatically.

The types of companies that have benefited from the AdWords API include:

Ad agencies
Search Engine Marketing (SEM) companies
Big brands managing a large number of accounts, with needs beyond what's possible within the Google Ads UI.

The API relies on SOAP and WSDL technologies to offer its services. You set up API access by obtaining a few required authentication credentials, creating some test accounts, and adding the authentication and account details to a configuration file for your client library. Authentication is via OAuth2.

To help you get started, they offer client libraries in Java, .NET, Python, PHP, Perl, and Ruby."
39,Commission Junction,/api/commission-junction,eCommerce,09.23.2006,"The Commission Detail Service is a REST-based API that enables advertisers and publishers to access real-time commission and item-detail data. Advertisers and publishers that wish to receive commission reporting updates in near real-time or to request new commission data on a regular basis can use this API to create in-house tools that access real-time commission data from the CJ network. Developers may search by any number of criteria including price, currency, country, serviceable area and UPC. A SOAP API is also available but will eventually be deprecated."
40,geocoder,/api/geocoder,Mapping,02.15.2006,"Geocoder.us is a public service providing free geocoding of addresses and intersections in the United States. Using the service you can find the latitude & longitude of any US address and much more. Geocoder.us offers four different ways to access our web services: an XML-RPC interface, a SOAP interface, a REST interface that returns an RDF/XML document, and a REST interface that returns a plain text comma separated values result. The methods and return values are equivalent across all three interfaces."
41,PayPal,/api/paypal,Payments,09.04.2005,"PayPal offers online payment solutions and has more than 153 million customers worldwide. The PayPal API makes powerful functionality available to developers by exposing various features of the PayPal platform. Functionality includes but is not limited to invoice management, transaction processing and account management."
42,MusicBrainz,/api/musicbrainz,Music,07.16.2006,"The MusicBrainz database contains a huge amount of music metadata, which is maintained by the MusicBrainz community. Find information about artists, albums, tracks and labels. Mash the data with your web app, media player, CD ripper, tagger or other applications requiring music metadata. The service's architecture follows the REST design principles. Interaction with the web service is done using HTTP and all content is served in a simple but flexible XML format."
43,Concur,/api/concur,Enterprise,03.02.2012,"The service provides online tools for business organizations to manage travel and expense reporting and reimbursement. Integrated travel booking functions combine with expense reporting within a single platform. The API allows integration with applications of customer companies, partner service providers, or independent third-party developers including mobile app developers.

API methods support submission and tracking of travel requests and booking of transportation and lodging, either for individuals or for groups completing the same travel. Methods also support creating, updating, and submitting expense reports as part of a reimbursement process."
44,Bit.ly,/api/bitly,URL Shortener,07.13.2008,"bit.ly allows users to shorten, share, and track links (URLs). Reducing the URL length makes sharing easier. bit.ly  can be accessed through their website, bookmarklets and this open API. bit.ly is also integrated into several popular third-party tools such as Tweetdeck and is used extensively on services like Twitter. Unique user-level and aggregate links can be created and let users view complete, real-time traffic and referrer data, as well as location and metadata."
45,Google Custom Search,/api/google-custom-search,Search,07.08.2007,"The Google Custom Search Engine API is a RESTful API that allows developer to get web or image search results data in JSON or Atom format. With the API, developers can add web search and/or site search capabilities to their website, blog or collection of websites."
46,Google Picasa,/api/google-picasa,Photos,03.23.2007,"Per provider, this API will be deprecated in January 2019. Developers are encouraged to migrate to the Google Photos Library API


From their site: The Picasa Web Albums data API allows client applications to view and update Picasa Web Albums content in the form of Google data API GData feeds. Your client application can request a list of user albums, photos, comments, or tags, edit or delete content in an existing entry, and query the content in an existing entry."
47,Blogger,/api/blogger,Blogging,02.08.2006,"The Blogger Data API allows client applications to view and update Blogger content in the form of Google Data API feeds. Your client application can use the Data API to create new blog posts, edit or delete existing posts, and query for posts that match particular criteria."
48,Google Geocoding,/api/google-geocoding,Mapping,12.08.2010,"The Google Geocoding API is a webservice for the Google Maps API. The Geocoding API provides a direct way to access a geocoder via an HTTP request, though it must be used in conjunction with Google Maps. Additionally, the service allows you to perform the converse operation (turning coordinates into addresses); this process is known as ""reverse geocoding."" Also, you can choose to limit your search to certain bounded areas (Viewport Biasing) or regions (Region Biasing)."
49,Microsoft Bing,/api/microsoft-bing,Search,01.23.2006,"Bing API enables developers to embed a flexible and powerful search engine as a custom search component in their sites and applications. Bing API offers open, flexible options for building or enhancing your site or applications. With the API users can search for web content, images, stories and more. Users can also monetize their applications with advertisements. It uses a RESTful protocol with results formatted either in XML or JSON and also provides support for SOAP protocol."
